1;1542386378824;0.201;-0.115;10.123;Capture
2;1542386378829;0.23;-0.134;10.132;Capture
3;1542386378830;0.23;-0.105;10.161;Capture
4;1542386378835;0.201;-0.105;10.142;Capture
5;1542386378852;0.211;-0.096;10.094;Capture
6;1542386378853;0.163;-0.134;10.161;Capture
7;1542386378854;0.211;-0.134;10.113;Capture
8;1542386378860;0.163;-0.096;10.094;Capture
9;1542386378861;0.182;-0.086;10.113;Capture
10;1542386378865;0.172;-0.096;10.142;Capture
11;1542386378870;0.201;-0.096;10.104;Capture
12;1542386378875;0.144;-0.057;10.084;Capture
13;1542386378881;0.201;-0.086;10.171;Capture
14;1542386378885;0.201;-0.029;10.171;Capture
15;1542386378890;0.172;-0.105;10.104;Capture
16;1542386378895;0.211;-0.115;10.123;Capture
17;1542386378900;0.23;-0.086;10.123;Capture
18;1542386378905;0.22;-0.086;10.142;Capture
19;1542386378910;0.201;-0.124;10.094;Capture
20;1542386378915;0.201;-0.086;10.132;Capture
21;1542386378920;0.172;-0.086;10.123;Capture
22;1542386378925;0.182;-0.096;10.113;Capture
23;1542386378930;0.163;-0.077;10.056;Capture
24;1542386378935;0.201;-0.105;10.113;Capture
25;1542386378940;0.144;-0.067;10.123;Capture
26;1542386378945;0.172;-0.077;10.171;Capture
27;1542386378950;0.211;-0.115;10.056;Capture
28;1542386378955;0.259;-0.134;10.113;Capture
29;1542386378960;0.211;-0.124;10.084;Capture
30;1542386378965;0.192;-0.115;10.104;Capture
31;1542386378970;0.192;-0.124;10.104;Capture
32;1542386378975;0.153;-0.134;10.104;Capture
33;1542386378980;0.201;-0.115;10.113;Capture
34;1542386378985;0.182;-0.048;10.075;Capture
35;1542386378990;0.163;-0.124;10.123;Capture
36;1542386378995;0.201;-0.105;10.084;Capture
37;1542386379000;0.201;-0.086;10.209;Capture
38;1542386379005;0.182;-0.086;10.142;Capture
39;1542386379010;0.172;-0.067;10.123;Capture
40;1542386379015;0.268;-0.124;10.199;Capture
41;1542386379020;0.211;-0.105;10.123;Capture
42;1542386379025;0.22;-0.086;10.084;Capture
43;1542386379030;0.192;-0.105;10.123;Capture
44;1542386379035;0.211;-0.144;10.056;Capture
45;1542386379040;0.182;-0.105;10.142;Capture
46;1542386379045;0.182;-0.124;10.123;Capture
47;1542386379050;0.249;-0.096;10.132;Capture
48;1542386379055;0.144;-0.077;10.132;Capture
49;1542386379060;0.182;-0.105;9.998;Capture
50;1542386379065;0.192;-0.096;10.151;Capture
51;1542386379070;0.172;-0.096;10.113;Capture
52;1542386379075;0.22;-0.086;10.113;Capture
53;1542386379080;0.22;-0.115;10.19;Capture
54;1542386379085;0.172;-0.153;10.084;Capture
55;1542386379090;0.239;-0.086;10.123;Capture
